"Age","Primary.streaming.service","Hours.per.day","While.working","Instrumentalist","Composer","Fav.genre","Exploratory","Foreign.languages","BPM","Frequency..Classical.","Frequency..Country.","Frequency..EDM.","Frequency..Folk.","Frequency..Gospel.","Frequency..Hip.hop.","Frequency..Jazz.","Frequency..K.pop.","Frequency..Latin.","Frequency..Lofi.","Frequency..Metal.","Frequency..Pop.","Frequency..R.B.","Frequency..Rap.","Frequency..Rock.","Frequency..Video.game.music.","Anxiety","Depression","Insomnia","OCD","Music.effects"
16,"Spotify",2,"Yes","No","No","Rap","Yes","Yes",126,"4","1","1","1","1","4","1","3","1","2","1","4","4","4","1","3",1,8,0,0,"No effect"
27,"Spotify",10,"Yes","No","No","Metal","Yes","Yes",185,"3","1","3","1","1","3","2","1","1","2","4","4","2","3","4","2",5,6,6,3,"Improve"
53,"Spotify",7,"Yes","No","No","Pop","Yes","Yes",92,"4","3","4","2","2","3","3","2","3","2","2","4","4","2","4","2",0,0,0,0,"Improve"
25,"Spotify",1,"Yes","No","No","EDM","No","No",107,"1","1","4","1","1","2","1","2","1","2","1","1","1","1","2","2",0,8,0,0,"Improve"
34,"Spotify",2,"No","No","No","Metal","No","No",120,"1","1","2","1","1","1","1","1","1","1","4","2","1","1","3","1",3,7,0,0,"Improve"
22,"Other streaming service",6,"Yes","Yes","Yes","Jazz","Yes","Yes",140,"3","2","4","4","2","4","4","2","3","3","3","4","4","4","3","3",8,8,8,5,"Improve"
17,"Spotify",2,"Yes","Yes","Yes","Jazz","Yes","No",94,"3","1","1","1","1","2","3","1","1","2","3","4","1","2","4","2",5,2,3,4,"Improve"
26,"Spotify",3,"Yes","Yes","No","Folk","Yes","No",160,"2","2","1","4","2","2","3","1","1","2","2","3","3","2","3","3",8,8,3,0,"Improve"
19,"Spotify",8,"Yes","No","No","EDM","Yes","No",174,"1","1","4","1","1","3","1","2","1","1","2","3","3","3","3","1",6,8,8,0,"Improve"
21,"Spotify",3,"Yes","No","No","Pop","Yes","Yes",136,"2","4","3","2","1","4","2","1","4","3","2","4","4","4","3","3",6,8,6,0,"Worsen"
32,"Spotify",3,"Yes","Yes","Yes","Rock","Yes","Yes",144,"2","2","3","4","1","3","2","1","3","4","2","3","4","2","4","2",6,6,7,5,"Improve"
21,"I do not use a streaming service.",3,"Yes","No","No","Rock","No","No",77,"1","1","1","3","3","3","3","1","2","1","2","2","2","3","4","4",9,10,3,0,"No effect"
25,"Spotify",2,"No","Yes","No","Pop","No","No",120,"2","1","1","2","1","3","1","1","3","1","1","4","3","4","4","2",7,7,5,0,"Improve"
26,"Spotify",1,"No","No","No","Rock","No","No",122.642796012804,"2","1","2","2","1","2","2","1","1","2","3","3","2","3","4","1",10,7,2,8,"No effect"
21,"Spotify",2,"Yes","Yes","No","Metal","Yes","Yes",137.996629527882,"2","1","1","3","1","2","1","1","1","2","4","2","1","2","4","3",1,3,0,6,"No effect"
17,"Spotify",2,"Yes","Yes","No","Pop","No","Yes",114.451948020325,"2","1","1","1","1","2","4","4","1","4","1","4","4","3","1","3",5,3,2,1,"Improve"
28,"I do not use a streaming service.",4,"Yes","No","No","Rock","Yes","Yes",194,"2","3","2","2","1","3","3","2","1","1","3","3","2","2","4","3",6,8,1,6,"Improve"
41,"YouTube Music",4,"Yes","No","No","Pop","Yes","No",60,"2","1","3","4","1","4","3","2","2","3","2","4","4","3","4","2",7,2,0,7,"Improve"
18,"Spotify",1,"Yes","Yes","No","Metal","Yes","Yes",190,"2","1","2","1","1","3","1","1","1","1","4","2","1","3","4","3",6,9,9,0,"Improve"
22,"Spotify",2,"No","No","No","R&B","No","Yes",87,"3","1","1","1","1","2","1","4","4","3","1","3","4","2","2","3",1,1,4,1,"No effect"
49,"Other streaming service",1,"Yes","No","No","EDM","Yes","No",156,"3","1","4","3","1","3","2","2","2","3","3","3","2","2","4","3",8,8,2,0,"Improve"
21,"Spotify",3,"Yes","Yes","Yes","Metal","Yes","No",150,"3","2","2","3","1","2","2","2","1","3","4","4","2","3","4","3",3,3,7,0,"No effect"
27,"Spotify",10,"Yes","No","No","Metal","Yes","Yes",194,"1","2","3","3","1","3","2","2","2","3","4","4","3","3","4","3",8,8,3,0,"Improve"
